angle_deg,shared_amplitude,checkerboard_amplitude
-74.05,0.011598508655399,0.0252738780621012
-74,0.0118860245342806,0.0259193265717484
-73.95,0.0121726513449902,0.0265638422876778
-73.9,0.0124583308151592,0.0272073005044698
-73.85,0.0127430041359735,0.0278495749636569
-73.8,0.0130266119712179,0.0284905378647675
-73.75,0.0133090944666561,0.0291300598770796
-73.7,0.01359039125975,0.0297680101521417
-73.65,0.0138704414897242,0.0304042563370219
-73.6,0.0141491838079767,0.0310386645883376
-73.55,0.0144265563888363,0.0316710995870471
-73.5,0.0147024969406694,0.0323014245540273
-73.45,0.0149769427173428,0.032929501266444
-73.4,0.0152498305300417,0.0335551900749285
-73.35,0.0155210967594435,0.0341783499215577
-73.3,0.0157906773682522,0.0347988383586724
-73.25,0.0160585079140976,0.0354165115685129
-73.2,0.0163245235627902,0.0360312243837059
-73.15,0.0165886591019496,0.0366428303085968
-73.1,0.0168508489549965,0.0372511815414492
-73.05,0.0171110271955083,0.0378561289975044
-73,0.0173691275619553,0.0384575223329322
-72.95,0.0176250834727941,0.0390552099696516
-72.9,0.0178788280419456,0.0396490391210636
-72.85,0.018130294094634,0.040238855818677
-72.8,0.0183794141836084,0.0408245049396488
-72.75,0.0186261206057341,0.0414058302352433
-72.7,0.0188703454189569,0.0419826743602211
-72.65,0.0191120204596469,0.0425548789031564
-72.6,0.019351077360311,0.0431222844177009
-72.55,0.0195874475676868,0.0436847304547946
-72.5,0.0198210623612047,0.0442420555958298
-72.45,0.0200518528718279,0.0447940974867739
-72.4,0.0202797501012656,0.0453406928732658
-72.35,0.0205046849415565,0.0458816776366779
-72.3,0.0207265881950276,0.0464168868311574
-72.25,0.0209453905946204,0.0469461547216564
-72.2,0.0211610228245896,0.0474693148229391
-72.15,0.0213734155415656,0.0479861999395884
-72.1,0.0215824993959878,0.0484966422070069
-72.05,0.021788205053898,0.0490004731334182
-72,0.0219904632190979,0.049497523642866
-71.95,0.0221892046556652,0.0499876241192246
